component_id,batch_id,prop__aktivnyi_azot_kislorod_pct_mass_n_ili_o,prop__anilinovaya_tochka,prop__atomnoe_otnoshenie_p_zn,prop__coc_c,prop__deaeratsiya_astm_d3427_min,prop__deem_emulsiya_astm_d1401_ml,prop__deem_maslo_astm_d1401_ml,prop__deem_voda_astm_d1401_ml,prop__deem_vremya_astm_d1401_min,prop__dinamicheskaya_vyazkost_ccs_15_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_20_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_25_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_30_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_35_c_astm_d5293_mpa_s,prop__dipolnyi_moment_d,prop__dlina_uglerodnoi_tsepi,prop__energiya_dissotsiatsii_svyazi_h_n_kkal_mol,prop__energiya_nsmo_ev,prop__energiya_vzmo_ev,prop__gruppa_po_api,prop__himicheskii_potentsial_dzh_mol,prop__indeks_polidispersnosti,prop__indeks_stabilnosti_pct,prop__indeks_vyazkosti_gost_25371,prop__indeks_vyazkosti_gost_25371_2,prop__isparyaemost_po_noack_astm_d5800_pct,prop__isparyaemost_po_noack_astm_d5800_pct_mass,prop__kinematicheskaya_vyazkost,prop__kinematicheskaya_vyazkost_pri_100_c_astm_d445_mm2_s,prop__kinematicheskaya_vyazkost_pri_300s_astm_d445_mm2_s,prop__kinematicheskaya_vyazkost_pri_40_c_astm_d445_mm2_s,prop__kislotnoe_chislo_gost_11362_mg_koh_g,prop__massa_gidrofobnogo_hvosta_g_mol,prop__massovaya_dolya_fosfora_astm_d6481_pct_mass,prop__massovaya_dolya_fosfora_astm_d6481_pct_mass_2,prop__massovaya_dolya_kaltsiya_astm_d6481_pct_mass,prop__massovaya_dolya_kaltsiya_astm_d6481_pct_mass_2,prop__massovaya_dolya_sery_astm_d6481_pct_mass,prop__massovaya_dolya_sery_astm_d6481_pct_mass_2,prop__massovaya_dolya_sulfatnoi_zoly_gost_12417_pct,prop__massovaya_dolya_tsinka_astm_d6481_pct_mass,prop__massovaya_dolya_tsinka_astm_d6481_pct_mass_2,prop__obschee_soderzhanie_azota_astm_d3228_pct,prop__opredelenie_soderzhaniya_vody_metodom_karla_fishera_astm_d_6304_ppm,prop__otnoshenie_mylo_osnovanie,prop__otnoshenie_s_mo,prop__pct_mass_mo,prop__plotnost_pri_15_s_astm_d4052_g_sm3,prop__plotnost_pri_15_s_astm_d4052_kg_m3,prop__plotnost_pri_20_s_astm_d4052_kg_m3,prop__posledovatelnost_1_astm_d892_sm3,prop__posledovatelnost_2_astm_d892_sm3,prop__posledovatelnost_3_astm_d892_sm3,prop__potentsial_ionizatsii_ev,prop__razmer_mitsell_nm,prop__schelochnoe_chislo_astm_d2896_mg_koh_g,prop__schelochnoe_chislo_gost_11362_mg_koh_g,prop__soderzhanie_azota,prop__soderzhanie_bora,prop__soderzhanie_masla,prop__soderzhanie_masla_pct_mass,prop__soderzhanie_metalla_ca_mg_pct_mass,prop__soderzhanie_mgco3_caco3_pct_mass,prop__soderzhanie_myla_pct_mass,prop__soderzhanie_polimera,prop__soderzhanie_sery_mg_kg,prop__soderzhanie_sery_pct_mass,prop__soderzhanie_vody_pct_mass,prop__sootnoshenie_monomerov_eo_po,prop__srednevesovaya_massa,prop__stepen_polisulfidnosti,prop__stericheskii_faktor_a3,prop__temperatura_plavleniya_c,prop__temperatura_provedeniya_testa_c,prop__temperatura_zastyvaniya_gost_20287_metod_b_c,prop__tsvet_astm_d1500_ed,prop__tsvet_seibolt_ed
Базовое_масло_5,01056.25,,,,,,,,,,,3534.0,6400.0,12688.0,25376.0,,,,,,,,,,,,,,,8.09,,54.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Базовое_масло_5,01085.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Базовое_масло_5,01624.25,,,,,,,,,,,3207.0,5855.0,11386.0,,,,,,,,,,,,120.0,,,,7.72,,50.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.0,,
Базовое_масло_5,01942.23,,,,,,0.0,41.0,39.0,5.0,2322.0,4054.0,7450.0,14903.0,,,,,,,,,,,,117.0,2.8,,,8.49,,58.73,,,,0.0039,,0.0002,,0.0041,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-20.0,,
Базовое_масло_5,01992.25,,,,,,,,,,2256.0,3907.0,7178.0,14088.0,,,,,,,,,,,,118.0,,,,8.34,,56.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.0,,
Базовое_масло_5,02229.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,,55.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_5,02510.25,,,,,,,,,,1816.0,3063.0,5503.0,10694.0,,,,,,,,,,,,,,,,8.716,,59.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_5,02724.23,,,,,,0.0,41.0,39.0,5.0,2192.0,3849.0,7087.0,14001.0,,,,,,,,,,,,117.0,2.8,,,8.3,,56.73,,,,3e-05,,0.0002,,0.0007,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-19.0,,
Базовое_масло_5,02896.24,,,,,,,,,,,,7741.0,14916.0,,,,,,,,,,,,114.0,,,,8.53,,59.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_5,0312.25,,,,,,,,,,,3821.0,6926.0,13682.0,,,,,,,,,,,,119.0,,,,8.276,,55.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_5,03159.24,,,,,,,,,,,3500.0,7036.0,14173.0,,,,,,,,,,,,,,,,8.303,,56.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_5,03602.23,,,,,,,,,,2467.0,4307.0,9021.0,17000.0,,,,,,,,,,,,115.0,,,,8.57,,60.05,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_5,0752.23,,,,,,0.0,41.0,39.0,5.0,2189.0,3849.0,7200.0,14123.0,,,,,,,,,,,,117.0,3.2,,,8.22,,56.03,,,,0.0002,,0.0002,,0.0002,,,0.0002,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-14.0,,
Базовое_масло_5,0767.24,,,,,,,,,,2344.0,4083.0,7514.0,14665.0,,,,,,,,,,,,116.0,3.1,,,8.35,,57.8,,,,2e-05,,0.00021,,0.00038,,,2e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-22.0,,
Базовое_масло_5,0962.25,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,8.06,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.0,,
Базовое_масло_5,0973/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.023,,51.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.0,,
Базовое_масло_6,01302.25,,,,,,,,,,,640.0,1000.0,1682.0,3017.0,,,,,,,,,,,126.0,,,,4.446,,20.92,,,,,,,,,,,,,,,,,,835.5,832.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_6,03164.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_6,0861.25,,,,,,,,,,,,,1627.0,,,,,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_6,093.25,,,,,,,,,,,589.0,964.0,1627.0,2963.0,,,,,,,,,,,122.0,,,,4.3,,20.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_6,для С3 01342.25,,,,,,,,,,,,,1732.0,,,,,,,,,,,,,,,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_7,01045.23,,,,,,0.0,40.0,40.0,5.0,5413.0,11573.0,,,,,,,,,,,,,,93.0,5.4,,,9.214,,77.6,,,,0.00063,,0.00041,,0.094,,,3e-05,,,,,,,,,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-16.0,,
Базовое_масло_7,01301.22,,,,,,0.0,43.0,37.0,10.0,6028.0,12491.0,25600.0,,,,,,,,,,,,,89.0,6.4,,,9.26,,80.34,,,,3e-05,,3.8e-05,,0.0991,,,2e-05,,,,,,,,,70.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,-19.0,,
Базовое_масло_7,01408.25,,,,,,,,,,5740.0,12398.0,24800.0,49600.0,99200.0,,,,,,,,,,,92.0,,,,9.298,,78.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_7,01511.24,,,,,,,,,,5632.0,11264.0,24000.0,,,,,,,,,,,,,91.0,,,,9.14,,77.38,,,,,,,,,,,,,,,,,,878.2,874.7,,,,,,,,,,,,,,,,,,,,,,,,,-15.0,,
Базовое_масло_7,01768.22,,,,,,,,,,5667.0,12160.0,25000.0,50000.0,,,,,,,,,,,,90.0,6.5,,,9.146,,78.02,,,,4e-05,,0.00015,,0.07599,,,2.4e-05,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-19.0,,
Базовое_масло_7,0186.21,,,,,,0.0,41.0,39.0,40.0,6022.0,12857.0,25800.0,,,,,,,,,,,,,89.0,5.4,,,9.34,,81.15,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_7,02595.22,,,,,,5.0,41.0,39.0,5.0,5596.0,11861.0,24000.0,,,,,,,,,,,,,92.0,,,,9.25,,78.65,,,,8e-05,,3e-05,,0.046,,,5e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_7,02787.24,,,,,,,,,,6016.0,13575.0,,,,,,,,,,,,,,91.0,,,,9.316,,79.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.0,,
Базовое_масло_7,03276.23,,,,,,0.0,41.0,39.0,5.0,5521.0,11811.0,24000.0,,,,,,,,,,,,,92.0,5.8,,,9.1,,76.89,,,,0.0001,,0.0002,,0.099,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-16.0,,
Базовое_масло_7,03527.22,,,,,,0.0,42.0,38.0,10.0,5597.0,11915.0,28157.0,60000.0,,,,,,,,,,,,91.0,5.5,,,9.22,,78.57,,,,0.0001,,0.0001,,0.0788,,,0.0001,,,,,,,,,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-19.0,,
Базовое_масло_7,0566.25,,,,,,,,,,,12103.0,24200.0,48400.0,,,,,,,,,,,,92.0,,,,9.15,,77.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.0,,
Базовое_масло_7,0575.23,,,,,,0.0,42.0,38.0,10.0,5273.0,11062.0,26044.0,67645.0,,,,,,,,,,,,92.0,6.1,,,9.16,,77.46,,,,0.0002,,0.0002,,0.0686,,,0.0002,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-19.0,,
Базовое_масло_7,0763.24,,,,,,,,,,5585.0,12049.0,24000.0,48000.0,,,,,,,,,,,,94.0,,,,9.2,,76.92,,,,0.0001,,0.0005,,,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-15.0,,
Базовое_масло_7,0770.22,,,,,,0.0,42.0,38.0,10.0,5977.0,12602.0,25204.0,51000.0,,,,,,,,,,,,91.0,6.5,,,9.3,,79.45,,,,4e-05,,9e-05,,0.0917,,,4e-05,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_7,094.22 (D-2022-0022),,,,,,0.0,42.0,38.0,10.0,6005.0,12582.0,,,,,,,,,,,,,,90.0,5.6,,,9.39,,81.32,,,,3e-05,,8e-05,,0.081,,,1e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-21.0,,
Базовое_масло_7,095.25,,,,,,,,,,5600.0,11925.0,20000.0,,,,,,,,,,,,,,,,,9.13,,76.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_8,01208.25 для SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_9,0768.24,,,,,2.5,,,,,1325.0,2226.0,3936.0,7364.0,,,,,,,,,,,,117.0,,,,6.55,,40.37,,,,0.00015,,0.00068,,0.00106,,,0.00018,,,,,,,801.3,797.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,50.0,-25.0,,
Базовое_масло_9,0862.25,,,,,,,,,,,,,5986.0,,,,,,,,,,,,,,,,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_9,091.25,,,,,,,,,,,1869.0,3226.0,5929.0,11706.0,,,,,,,,,,,,,,,6.18,,36.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_1,017.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_1,0800.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_1,0862.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.1,,1828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_1,13348.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_1,9518.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_1,DPM 131 из ЦП,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_1,DPM 189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_1,DPM 265 от 12.08.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885.5,882.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_2,121256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_2,5508.24 п.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_2,п.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,2288.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_2,п.14 (2023г),,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,,3299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_2,п.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_2,п.60 от 12.01.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,3105.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_3,0246.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.83,,846.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_3,28446.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_1,01558.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.51,,,,,,,,,,,,,,,,,,,328.2,,,,,,,,,,,,,,,,,,,,,
Детергент_1,0174.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5,,,11.2,,,,,11.2,,,,,,,,,,,,,,,,,,,405.8,,,,,,,,,,,,,,,,,,,,,
Детергент_1,0269.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.33,,,,,,,,15.13,,1.598,,,,,,,,,,,,,,,,,344.1,,,,,,,,,,,,,,,,,,,,,
Детергент_1,03052.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.71,,,,,,,,,,,,,,,,,,,377.7,,,,,,,,,,,,,,,,,,,,,
Детергент_1,03203.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.91,,,,,,,,16.24,,,,,,,,,,,,,,,,,,,404.0,,,,,,,,,,,,,,,,,,,,,
Детергент_1,0432.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76,,,,,,,,,,,,,,,,,,,410.9,,,,,,,,,,,,,,,,,,,,,
Детергент_1,33444.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.92,,,,,,,,15.39,,,,,,,,,,,,,,,,,,,406.34,391.6,,,,,,,,,,,,,,,,,,,,
Детергент_1,из 328 р-р 01295.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,0.0006,,16.29,,,,,0.0007,,,,,,,,,,,,,,407.0,,,,,,,,,,,,,,,,,,,,,
Детергент_10,0688.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.07,,,,,,,,6.301,,0.519,,,,,31591.0,,,,,,,,,,,,158.2,163.6,,,,,,,,,,,,,,,,,,,,
Детергент_12,8476.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.46,,,,,,,,16.3,,1.56,,,,,,,,,,,,,,,,,434.4,,,,,,,,,,,,,,,,,,,,,
Детергент_13,бочка 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.0,,,,,,,,,,,,,,,,,,,,
Детергент_17,03133.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,0.0015,,6.59,,,,,0.0005,,,,,,,,,,,,,,173.6,,,,,,,,,,,,,,,,,,,,,
Детергент_18,01637.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.18,,,,,0.0002,,5.88,,,,,0.0002,,,,,,,,,,,,,,,150.4,,,,,,,,,,,,,,,,,,,,,
Детергент_19,03134.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.82,,,,,,0.002,,9.91,,,,,0.00012,,,,,,,,,,,,,,253.1,,,,,,,,,,,,,,,,,,,,,
Детергент_2,01297.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47,,,,,,0.0004,,6.48,,,,,0.0002,,,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,
Детергент_2,02957.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.62,,,,,,,,6.33,,,,,,,,,,,,,,,,,,,173.3,,,,,,,,,,,,,,,,,,,,,
Детергент_20,03007.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.7,,,,,,0.002,,8.63,,2.79,,,0.003,,,,,,,,,,,,,,240.3,,,,,,,,,,,,,,,,,,,,,
Детергент_22,03009.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.8,,,,,,0.0008,,11.43,,0.097,,,0.0014,,,,,,,,,,,,,,324.2,,,,,,,,,,,,,,,,,,,,,
Детергент_3,01714.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.3,,,,,,,,,,,,,,,,,,,,,
Детергент_3,48670.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.76,,,,,,,,5.66,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_4,02585.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.58,,,,,,0.005,,6.18,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_4,02623.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,0.9,,4.72,,2.5,,,0.88,,,,,,,,,,,,,,149.6,151.3,,,,,,,,,,,,,,,,,,,,
Детергент_4,02849.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66,,,,,,0.95,,5.392,,2.378,,,1.114,,,,,,,,,,,,,,151.3,148.6,,,,,,,,,,,,,,,,,,,,
Детергент_4,0338.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68,,,,,,,,6.144,,,,,0.0064,,,,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,,,,
Детергент_4,14558.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888,,5.48,,,,,1.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_4,__missing_batch__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.64,,,,,,0.0067,,6.34,,0.496,,,0.0031,,,,,,,,,,,,,,,172.08,,,,,,,,,,,,,,,,,,,,
Детергент_6,01066.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.6,,,,,,0.0006,,10.13,,3.154,,,0.0001,,,,,,,,,,,,,,315.1,,,,,,,,,,,,,,,,,,,,,
Детергент_6,02034.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.7,,,,,,0.0012,,10.33,,2.81,,,0.001,,,,,,,,,,,,,,272.7,,,,,,,,,,,,,,,,,,,,,
Детергент_6,02657.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.9,,,,,,0.0006,,10.59,,0.326,,,0.0005,,,,,,,,,,,,,,269.4,272.8,,,,,,,,,,,,,,,,,,,,
Детергент_6,03340.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.9,,,,,,,,10.14,,,,,,,,,,,,,,,,,,,276.1,,,,,,,,,,,,,,,,,,,,,
Детергент_7,03229.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.873,,2.484,,,,,0.0344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_7,синтетический,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_9,0241.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96,,,,,,,,6.77,,0.165,,,,,28438.0,,,,,,,,,,,,171.7,161.2,,,,,,,,,,,,,,,,,,,,
Дисперсант_1,03067.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7,,,,,,0.002,,0.002,,,,,0.003,,,,,,,,,,,,,,40.9,,,,,,,,,,,,,,,,,,,,,
Дисперсант_1,36524.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дисперсант_10,01930.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.96,,,,,,,,,,,,,,,,,,,,,
Дисперсант_11,02688.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,,,6.508,,,,,,,,,,,1.491,,,,,,,,,,,,,31.017,20.83,,,,,,,,,,,,,,,,,,,7.7,
Дисперсант_12,02689.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,5.45,,,,,,,,,,,1.644,,,,,,,,,,,,,31.278,22.26,,,,,,,,,,,,,,,,,,,6.9,
Дисперсант_13,02690.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.0,,,6.174,,,,,,,,,,,1.664,,,,,,,,,,,,,31.885,20.56,,,,,,,,,,,,,,,,,,,7.8,
Дисперсант_2,01025.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.9,,,,,,0.0007,,0.0009,,0.0027,,,0.0002,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,
Дисперсант_3,01030.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.1,,,,,,0.002,,0.002,,0.048,,,0.0001,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,
Дисперсант_3,П-23-035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.45,,,,,,0.0045,,0.0001,,0.049,,,0.0001,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,
Дисперсант_4,0139.25 ол12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.8,,,1.031,,,,,,,,,,,,,,,,,,,,,,,,54.43,36.23,,,,,,,,,,,,,,,,,,,3.0,
Дисперсант_4,08.07.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дисперсант_6,077.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.0,,,0.571,,,,,,,,,,,,,,,,,,,,,,,,22.7,16.7,,,,,,,,,,,,,,,,,,,4.5,
Дисперсант_6,отбор 26.11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.6,,,,,,,,,,,,,,,,,,,,,,,,,,,26.14,,,,,,,,,,,,,,,,,,,,,
Дисперсант_9,02718.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,"01007.22 (8,2%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,01076.24 10% в HVI-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.5,,,,,,,,,,,,,,,,,,,,844.7,841.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,01277.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,"01935.22 (8,2%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
