component_id,batch_id,batch_id_was_missing,property_name,property_unit,property_value,property_value_numeric,is_numeric_property_value
Базовое_масло_11,0879.23,False,"Массовая доля серы, ASTM D6481",% масс,0.024,0.024,True
Базовое_масло_11,0879.23,False,"Массовая доля фосфора, ASTM D6481",% масс,0.0001,0.0001,True
Базовое_масло_11,0879.23,False,"Массовая доля цинка, ASTM D6481",% масс,0.0001,0.0001,True
Базовое_масло_11,0879.23,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_11,0879.23,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_11,0879.23,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_11,0879.23,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-17,-17.0,True
Базовое_масло_11,typical,False,Группа по API,,1,1.0,True
Базовое_масло_11,typical,False,Происхождение,,минеральное,,False
Базовое_масло_11,typical,False,"Содержание серы, мг/кг",,<2000,,False
Базовое_масло_12,02907.23,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,498,498.0,True
Базовое_масло_12,02907.23,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,766,766.0,True
Базовое_масло_12,02907.23,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,1259,1259.0,True
Базовое_масло_12,02907.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,3.81,3.81,True
Базовое_масло_12,02907.23,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-71,-71.0,True
Базовое_масло_12,typical,False,Группа по API,,4,4.0,True
Базовое_масло_12,typical,False,"Индекс вязкости, ГОСТ 25371",-,129.0,129.0,True
Базовое_масло_12,typical,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,16.85,16.85,True
Базовое_масло_12,typical,False,Происхождение,,синтетика,,False
Базовое_масло_13,0934.22,False,Деэм.вода | ASTM D1401,мл,40,40.0,True
Базовое_масло_13,0934.22,False,Деэм.время | ASTM D1401,мин,5,5.0,True
Базовое_масло_13,0934.22,False,Деэм.масло | ASTM D1401,мл,40,40.0,True
Базовое_масло_13,0934.22,False,Деэм.эмульсия | ASTM D1401,мл,0,0.0,True
Базовое_масло_13,0934.22,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1181,1181.0,True
Базовое_масло_13,0934.22,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2011,2011.0,True
Базовое_масло_13,0934.22,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4345,4345.0,True
Базовое_масло_13,0934.22,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,6680,6680.0,True
Базовое_масло_13,0934.22,False,"Индекс вязкости, ГОСТ 25371",–,116,116.0,True
Базовое_масло_13,0934.22,False,"Испаряемость по NOACK, ASTM D5800",%,4.6,4.6,True
Базовое_масло_13,0934.22,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,6.39,6.39,True
Базовое_масло_13,0934.22,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,38.55,38.55,True
Базовое_масло_13,0934.22,False,"Массовая доля кальция, ASTM D6481",% масс,0.00071,0.00071,True
Базовое_масло_13,0934.22,False,"Массовая доля серы, ASTM D6481",% масс,0.00082,0.00082,True
Базовое_масло_13,0934.22,False,"Массовая доля фосфора, ASTM D6481",% масс,0.00016,0.00016,True
Базовое_масло_13,0934.22,False,"Массовая доля цинка, ASTM D6481",% масс,0.00004,4e-05,True
Базовое_масло_13,0934.22,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_13,0934.22,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_13,0934.22,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_13,0934.22,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-16,-16.0,True
Базовое_масло_13,typical,False,Группа по API,,3,3.0,True
Базовое_масло_13,typical,False,Происхождение,,гидрокрекинг,,False
Базовое_масло_13,typical,False,Содержание насыщ. у/в,,>95,,False
Базовое_масло_13,typical,False,"Содержание серы, мг/кг",,0.2,0.2,True
Базовое_масло_14,_22.04.2025,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13,13.0,True
Базовое_масло_14,_22.04.2025,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25,25.0,True
Базовое_масло_14,_22.04.2025,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50,50.0,True
Базовое_масло_14,_22.04.2025,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,100,100.0,True
Базовое_масло_14,_22.04.2025,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,200,200.0,True
Базовое_масло_14,_22.04.2025,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.02,1.02,True
Базовое_масло_14,_22.04.2025,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2.54,2.54,True
Базовое_масло_14,typical,False,Группа по API,,2,2.0,True
Базовое_масло_14,typical,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.5,1.5,True
Базовое_масло_14,typical,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2.69,2.69,True
Базовое_масло_14,typical,False,Происхождение,,гидрокрекинг,,False
Базовое_масло_14,typical,False,Содержание ароматики,,<3,,False
Базовое_масло_14,typical,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-68.0,-68.0,True
Базовое_масло_14,Р-10 от 13.05.2024,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,4,4.0,True
Базовое_масло_14,Р-10 от 13.05.2024,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,2,2.0,True
Базовое_масло_14,Р-10 от 13.05.2024,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,4,4.0,True
Базовое_масло_14,Р-10 от 13.05.2024,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.02,1.02,True
Базовое_масло_14,Р-10 от 13.05.2024,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,5.01,5.01,True
Базовое_масло_14,Р-10 от 13.05.2024,False,"Плотность при 15°С, ASTM D4052",кг/м³,801.4,801.4,True
Базовое_масло_14,Р-10 от 13.05.2024,False,"Плотность при 20°С, ASTM D4052",кг/м³,798,798.0,True
Базовое_масло_14,из ЦП 19.09.23г,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13,13.0,True
Базовое_масло_14,из ЦП 19.09.23г,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25,25.0,True
Базовое_масло_14,из ЦП 19.09.23г,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50,50.0,True
Базовое_масло_14,из ЦП 19.09.23г,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,100,100.0,True
Базовое_масло_14,из ЦП 19.09.23г,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,200,200.0,True
Базовое_масло_14,из ЦП 19.09.23г,False,"Испаряемость по NOACK, ASTM D5800",%,90,90.0,True
Базовое_масло_14,из ЦП 19.09.23г,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1,1.0,True
Базовое_масло_14,из ЦП 19.09.23г,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2,2.0,True
Базовое_масло_15,02602.23,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,149,149.0,True
Базовое_масло_15,02602.23,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,286,286.0,True
Базовое_масло_15,02602.23,False,"Индекс вязкости, ГОСТ 25371",–,98,98.0,True
Базовое_масло_15,02602.23,False,"Кинематическая вязкость, при -30⁰С | ASTM D445",мм²/с,248,248.0,True
Базовое_масло_15,02602.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,2.05,2.05,True
Базовое_масло_15,02602.23,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,7.001,7.001,True
Базовое_масло_15,02602.23,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-58,-58.0,True
Базовое_масло_15,typical,False,Группа по API,,4,4.0,True
Базовое_масло_15,typical,False,Происхождение,,синтетика,,False
Базовое_масло_16,02959.22,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.18,1.18,True
Базовое_масло_16,02959.22,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2.82,2.82,True
Базовое_масло_16,02959.22,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-40,-40.0,True
Базовое_масло_16,067.23,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13,13.0,True
Базовое_масло_16,067.23,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25,25.0,True
Базовое_масло_16,067.23,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50,50.0,True
Базовое_масло_16,067.23,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,100,100.0,True
Базовое_масло_16,067.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.5,1.5,True
Базовое_масло_16,067.23,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2.69,2.69,True
Базовое_масло_16,25721.17,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13,13.0,True
Базовое_масло_16,25721.17,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25,25.0,True
Базовое_масло_16,25721.17,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50,50.0,True
Базовое_масло_16,25721.17,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,99,99.0,True
Базовое_масло_16,25721.17,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,200,200.0,True
Базовое_масло_16,25721.17,False,"Испаряемость по NOACK, ASTM D5800",%,90,90.0,True
Базовое_масло_16,25721.17,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.17,1.17,True
Базовое_масло_16,25721.17,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2.84,2.84,True
Базовое_масло_16,typical,False,Группа по API,,2,2.0,True
Базовое_масло_16,typical,False,Происхождение,,гидрокрекинг,,False
Базовое_масло_16,typical,False,Содержание ароматики,,<3,,False
Базовое_масло_16,typical,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-68.0,-68.0,True
Базовое_масло_17,typical,False,Анилиновая точка,,68.4,68.4,True
Базовое_масло_17,typical,False,Группа по API,,5,5.0,True
Базовое_масло_17,typical,False,Номер CAS,,64742-53-6,,False
Базовое_масло_17,typical,False,Происхождение,,Синтетика,,False
Базовое_масло_17,без номера,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13,13.0,True
Базовое_масло_17,без номера,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25,25.0,True
Базовое_масло_17,без номера,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50,50.0,True
Базовое_масло_17,без номера,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,99,99.0,True
Базовое_масло_17,без номера,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,200,200.0,True
Базовое_масло_17,без номера,False,"Испаряемость по NOACK, ASTM D5800",%,90,90.0,True
Базовое_масло_17,без номера,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.45,1.45,True
Базовое_масло_17,без номера,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,3.88,3.88,True
Базовое_масло_17,без номера,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-73,-73.0,True
Базовое_масло_2,01009.22,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1220,1220.0,True
Базовое_масло_2,01009.22,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2317,2317.0,True
Базовое_масло_2,01009.22,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4827,4827.0,True
Базовое_масло_2,01009.22,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10684,10684.0,True
Базовое_масло_2,01009.22,False,"Индекс вязкости, ГОСТ 25371",–,95,95.0,True
Базовое_масло_2,01009.22,False,"Испаряемость по NOACK, ASTM D5800",%,14.7,14.7,True
Базовое_масло_2,01009.22,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.39,5.39,True
Базовое_масло_2,01009.22,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,33.01,33.01,True
Базовое_масло_2,01009.22,False,"Массовая доля кальция, ASTM D6481",% масс,0.00003,3e-05,True
Базовое_масло_2,01009.22,False,"Массовая доля серы, ASTM D6481",% масс,0.0236,0.0236,True
Базовое_масло_2,01009.22,False,"Массовая доля фосфора, ASTM D6481",% масс,0.00004,4e-05,True
Базовое_масло_2,01009.22,False,"Массовая доля цинка, ASTM D6481",% масс,0.00005,5e-05,True
Базовое_масло_2,01009.22,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01009.22,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01009.22,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01009.22,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-18,-18.0,True
Базовое_масло_2,01302.22,False,Деэм.вода | ASTM D1401,мл,40,40.0,True
Базовое_масло_2,01302.22,False,Деэм.время | ASTM D1401,мин,5,5.0,True
Базовое_масло_2,01302.22,False,Деэм.масло | ASTM D1401,мл,40,40.0,True
Базовое_масло_2,01302.22,False,Деэм.эмульсия | ASTM D1401,мл,0,0.0,True
Базовое_масло_2,01302.22,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1286,1286.0,True
Базовое_масло_2,01302.22,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2351,2351.0,True
Базовое_масло_2,01302.22,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4925,4925.0,True
Базовое_масло_2,01302.22,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10923,10923.0,True
Базовое_масло_2,01302.22,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,22000,22000.0,True
Базовое_масло_2,01302.22,False,"Индекс вязкости, ГОСТ 25371",–,94,94.0,True
Базовое_масло_2,01302.22,False,"Испаряемость по NOACK, ASTM D5800",%,15.6,15.6,True
Базовое_масло_2,01302.22,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.37,5.37,True
Базовое_масло_2,01302.22,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.96,32.96,True
Базовое_масло_2,01302.22,False,"Массовая доля кальция, ASTM D6481",% масс,0.00003,3e-05,True
Базовое_масло_2,01302.22,False,"Массовая доля серы, ASTM D6481",% масс,0.0289,0.0289,True
Базовое_масло_2,01302.22,False,"Массовая доля фосфора, ASTM D6481",% масс,0.00003,3e-05,True
Базовое_масло_2,01302.22,False,"Массовая доля цинка, ASTM D6481",% масс,0.000012,1.2e-05,True
Базовое_масло_2,01302.22,False,Последовательность 1 | ASTM D892,см³,430,430.0,True
Базовое_масло_2,01302.22,False,Последовательность 2 | ASTM D892,см³,30,30.0,True
Базовое_масло_2,01302.22,False,Последовательность 3 | ASTM D892,см³,460,460.0,True
Базовое_масло_2,01302.22,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-18,-18.0,True
Базовое_масло_2,01510.24,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1165,1165.0,True
Базовое_масло_2,01510.24,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2161,2161.0,True
Базовое_масло_2,01510.24,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4323,4323.0,True
Базовое_масло_2,01510.24,False,"Индекс вязкости, ГОСТ 25371",–,98,98.0,True
Базовое_масло_2,01510.24,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.31,5.31,True
Базовое_масло_2,01510.24,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,31.81,31.81,True
Базовое_масло_2,01510.24,False,"Плотность при 15°С, ASTM D4052",кг/м³,870.7,870.7,True
Базовое_масло_2,01510.24,False,"Плотность при 20°С, ASTM D4052",кг/м³,867.2,867.2,True
Базовое_масло_2,01510.24,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-17,-17.0,True
Базовое_масло_2,01767.22,False,Деэм.вода | ASTM D1401,мл,35,35.0,True
Базовое_масло_2,01767.22,False,Деэм.время | ASTM D1401,мин,30,30.0,True
Базовое_масло_2,01767.22,False,Деэм.масло | ASTM D1401,мл,40,40.0,True
Базовое_масло_2,01767.22,False,Деэм.эмульсия | ASTM D1401,мл,5,5.0,True
Базовое_масло_2,01767.22,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1150,1150.0,True
Базовое_масло_2,01767.22,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2199,2199.0,True
Базовое_масло_2,01767.22,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4564,4564.0,True
Базовое_масло_2,01767.22,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10045,10045.0,True
Базовое_масло_2,01767.22,False,"Индекс вязкости, ГОСТ 25371",–,96,96.0,True
Базовое_масло_2,01767.22,False,"Испаряемость по NOACK, ASTM D5800",%,15.3,15.3,True
Базовое_масло_2,01767.22,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.31,5.31,True
Базовое_масло_2,01767.22,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.06,32.06,True
Базовое_масло_2,01767.22,False,"Массовая доля кальция, ASTM D6481",% масс,0.00056,0.00056,True
Базовое_масло_2,01767.22,False,"Массовая доля серы, ASTM D6481",% масс,0.02433,0.02433,True
Базовое_масло_2,01767.22,False,"Массовая доля фосфора, ASTM D6481",% масс,0.00003,3e-05,True
Базовое_масло_2,01767.22,False,"Массовая доля цинка, ASTM D6481",% масс,0.00005,5e-05,True
Базовое_масло_2,01767.22,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01767.22,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01767.22,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01767.22,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-17,-17.0,True
Базовое_масло_2,01940.22,False,Деэм.вода | ASTM D1401,мл,39,39.0,True
Базовое_масло_2,01940.22,False,Деэм.время | ASTM D1401,мин,5,5.0,True
Базовое_масло_2,01940.22,False,Деэм.масло | ASTM D1401,мл,41,41.0,True
Базовое_масло_2,01940.22,False,Деэм.эмульсия | ASTM D1401,мл,0,0.0,True
Базовое_масло_2,01940.22,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1067,1067.0,True
Базовое_масло_2,01940.22,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2049,2049.0,True
Базовое_масло_2,01940.22,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4252,4252.0,True
Базовое_масло_2,01940.22,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,9446,9446.0,True
Базовое_масло_2,01940.22,False,"Индекс вязкости, ГОСТ 25371",–,99,99.0,True
Базовое_масло_2,01940.22,False,"Испаряемость по NOACK, ASTM D5800",%,15,15.0,True
Базовое_масло_2,01940.22,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.25,5.25,True
Базовое_масло_2,01940.22,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,31.12,31.12,True
Базовое_масло_2,01940.22,False,"Массовая доля кальция, ASTM D6481",% масс,0.00014,0.00014,True
Базовое_масло_2,01940.22,False,"Массовая доля серы, ASTM D6481",% масс,0.032,0.032,True
Базовое_масло_2,01940.22,False,"Массовая доля фосфора, ASTM D6481",% масс,0.00003,3e-05,True
Базовое_масло_2,01940.22,False,"Массовая доля цинка, ASTM D6481",% масс,0.00005,5e-05,True
Базовое_масло_2,01940.22,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01940.22,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01940.22,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01940.22,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-16,-16.0,True
Базовое_масло_2,01943.23,False,Деэм.вода | ASTM D1401,мл,39,39.0,True
Базовое_масло_2,01943.23,False,Деэм.время | ASTM D1401,мин,5,5.0,True
Базовое_масло_2,01943.23,False,Деэм.масло | ASTM D1401,мл,41,41.0,True
Базовое_масло_2,01943.23,False,Деэм.эмульсия | ASTM D1401,мл,0,0.0,True
Базовое_масло_2,01943.23,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1250,1250.0,True
Базовое_масло_2,01943.23,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2382,2382.0,True
Базовое_масло_2,01943.23,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4932,4932.0,True
Базовое_масло_2,01943.23,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10861,10861.0,True
Базовое_масло_2,01943.23,False,"Индекс вязкости, ГОСТ 25371",–,97,97.0,True
Базовое_масло_2,01943.23,False,"Испаряемость по NOACK, ASTM D5800",%,13.7,13.7,True
Базовое_масло_2,01943.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.45,5.45,True
Базовое_масло_2,01943.23,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,33.25,33.25,True
Базовое_масло_2,01943.23,False,"Массовая доля кальция, ASTM D6481",% масс,0.0002,0.0002,True
Базовое_масло_2,01943.23,False,"Массовая доля серы, ASTM D6481",% масс,0.021,0.021,True
Базовое_масло_2,01943.23,False,"Массовая доля фосфора, ASTM D6481",% масс,0.0001,0.0001,True
Базовое_масло_2,01943.23,False,"Массовая доля цинка, ASTM D6481",% масс,0.0001,0.0001,True
Базовое_масло_2,01943.23,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01943.23,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01943.23,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,01943.23,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-16,-16.0,True
Базовое_масло_2,01993.25,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1172,1172.0,True
Базовое_масло_2,01993.25,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2254,2254.0,True
Базовое_масло_2,01993.25,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4576,4576.0,True
Базовое_масло_2,01993.25,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,9992,9992.0,True
Базовое_масло_2,01993.25,False,"Индекс вязкости, ГОСТ 25371",–,100,100.0,True
Базовое_масло_2,01993.25,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.38,5.38,True
Базовое_масло_2,01993.25,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.16,32.16,True
Базовое_масло_2,01993.25,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-15,-15.0,True
Базовое_масло_2,0204.22,False,Деэм.вода | ASTM D1401,мл,38,38.0,True
Базовое_масло_2,0204.22,False,Деэм.время | ASTM D1401,мин,30,30.0,True
Базовое_масло_2,0204.22,False,Деэм.масло | ASTM D1401,мл,42,42.0,True
Базовое_масло_2,0204.22,False,Деэм.эмульсия | ASTM D1401,мл,0,0.0,True
Базовое_масло_2,0204.22,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1224,1224.0,True
Базовое_масло_2,0204.22,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2308,2308.0,True
Базовое_масло_2,0204.22,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4797,4797.0,True
Базовое_масло_2,0204.22,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10565,10565.0,True
Базовое_масло_2,0204.22,False,"Индекс вязкости, ГОСТ 25371",–,96,96.0,True
Базовое_масло_2,0204.22,False,"Испаряемость по NOACK, ASTM D5800",%,12.8,12.8,True
Базовое_масло_2,0204.22,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.4,5.4,True
Базовое_масло_2,0204.22,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,33,33.0,True
Базовое_масло_2,0204.22,False,"Массовая доля кальция, ASTM D6481",% масс,0.00089,0.00089,True
Базовое_масло_2,0204.22,False,"Массовая доля серы, ASTM D6481",% масс,0.02478,0.02478,True
Базовое_масло_2,0204.22,False,"Массовая доля фосфора, ASTM D6481",% масс,0.00054,0.00054,True
Базовое_масло_2,0204.22,False,"Массовая доля цинка, ASTM D6481",% масс,0.00014,0.00014,True
Базовое_масло_2,0204.22,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,0204.22,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,0204.22,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,0204.22,False,"Температура застывания, ГОСТ 20287, метод Б",°C,0,0.0,True
Базовое_масло_2,02360.23,False,Деэм.вода | ASTM D1401,мл,40,40.0,True
Базовое_масло_2,02360.23,False,Деэм.время | ASTM D1401,мин,5,5.0,True
Базовое_масло_2,02360.23,False,Деэм.масло | ASTM D1401,мл,40,40.0,True
Базовое_масло_2,02360.23,False,Деэм.эмульсия | ASTM D1401,мл,0,0.0,True
Базовое_масло_2,02360.23,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1169,1169.0,True
Базовое_масло_2,02360.23,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2205,2205.0,True
Базовое_масло_2,02360.23,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4520,4520.0,True
Базовое_масло_2,02360.23,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,9777,9777.0,True
Базовое_масло_2,02360.23,False,"Индекс вязкости, ГОСТ 25371",–,98,98.0,True
Базовое_масло_2,02360.23,False,"Испаряемость по NOACK, ASTM D5800",%,14,14.0,True
Базовое_масло_2,02360.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.36,5.36,True
Базовое_масло_2,02360.23,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.22,32.22,True
Базовое_масло_2,02360.23,False,"Массовая доля кальция, ASTM D6481",% масс,0.000021,2.1e-05,True
Базовое_масло_2,02360.23,False,"Массовая доля серы, ASTM D6481",% масс,0.032,0.032,True
Базовое_масло_2,02360.23,False,"Массовая доля фосфора, ASTM D6481",% масс,0.00003,3e-05,True
Базовое_масло_2,02360.23,False,"Массовая доля цинка, ASTM D6481",% масс,0.00004,4e-05,True
Базовое_масло_2,02360.23,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,02360.23,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,02360.23,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_2,02360.23,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-16,-16.0,True
Базовое_масло_2,02425.24,False,"Индекс вязкости, ГОСТ 25371",–,95,95.0,True
Базовое_масло_2,02425.24,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.35,5.35,True
